Tamanho,Threads,Tempo
10000000,34,16034499
10000000,35,25025247
10000000,36,16811979
10000000,37,32897795
10000000,38,34345118
10000000,39,14994196
10000000,40,24951416
10000000,41,29702881
10000000,42,45897204
10000000,43,39634921
10000000,44,38779001
10000000,45,25441996
10000000,46,22633628
10000000,47,13818665
10000000,48,13981607
10000000,49,16302124
10000000,50,22085095
10000000,51,12999141
10000000,52,16452662
10000000,53,22519732
10000000,54,20486893
10000000,55,22211516
10000000,56,13329378
10000000,57,16038534
10000000,58,12593869
10000000,59,12660009
10000000,60,16899750
10000000,61,23675264
10000000,62,13623732
10000000,63,18347681
10000000,64,15630637
10000000,65,17262609
10000000,66,27320064
10000000,67,28895429
10000000,68,12743697
10000000,69,16330477
10000000,70,13711092
10000000,71,17765015
10000000,72,26641702
10000000,73,13660991
10000000,74,26335882
10000000,75,14361687
10000000,76,13890165
10000000,77,20294518
10000000,78,27949534
10000000,79,21375982
10000000,80,16661516
10000000,81,15026466
10000000,82,14569337
10000000,83,26281096
10000000,84,13459193
10000000,85,17240048
10000000,86,13521300
10000000,87,12909986
10000000,88,19938146
10000000,89,20669148
10000000,90,13995000
10000000,91,16553489
10000000,92,13600124
10000000,93,14901423
10000000,94,22006113
10000000,95,17268393
10000000,96,17072794
10000000,97,13234250
10000000,98,21058549
10000000,99,21239294
10000000,100,18207339
100000000,1,227881510
100000000,2,256280370
100000000,3,147427583
100000000,4,132795008
100000000,5,140300943
100000000,6,139284611
100000000,7,142547097
100000000,8,135057568
100000000,9,142169527
100000000,10,130314374
100000000,11,138131353
100000000,12,131128051
100000000,13,132816661
100000000,14,141638184
100000000,15,142564390
100000000,16,131393614
100000000,17,128310057
100000000,18,146900561
100000000,19,130325400
100000000,20,143331752
100000000,21,138474788
100000000,22,131871180
100000000,23,136687281
100000000,24,130458404
100000000,25,130077701
100000000,26,144462018
100000000,27,139740100
100000000,28,145322882
100000000,29,151838271
100000000,30,167288169
100000000,31,142551782
100000000,32,148659043
100000000,33,134728751
100000000,34,145334383
100000000,35,173985001
100000000,36,140570540
100000000,37,138789778
100000000,38,144761703
100000000,39,160163525
100000000,40,148906437
100000000,41,127369550
100000000,42,153061465
100000000,43,161317071
100000000,44,136435166
100000000,45,147729009
100000000,46,202866992
100000000,47,152772195
100000000,48,138330123
100000000,49,130047413
100000000,50,134520776
100000000,51,139628992
100000000,52,125923340
100000000,53,139025261
100000000,54,129791861
100000000,55,156079592
100000000,56,139261647
100000000,57,148794316
100000000,58,128388654
100000000,59,163268299
100000000,60,136648319
100000000,61,128521753
100000000,62,140722006
100000000,63,140839534
100000000,64,137015969
100000000,65,131839564
100000000,66,143678913
100000000,67,154673811
100000000,68,141700896
100000000,69,129660961
100000000,70,159823385
100000000,71,128193950
100000000,72,142166241
100000000,73,130926149
100000000,74,186131736
100000000,75,207981520
100000000,76,139908108
100000000,77,127223640
100000000,78,221781656
100000000,79,143312302
100000000,80,138483647
100000000,81,128198305
100000000,82,138670889
100000000,83,131511890
100000000,84,149992298
100000000,85,130877729
100000000,86,134160308
100000000,87,170549974
100000000,88,134496962
100000000,89,214987138
100000000,90,163618123
100000000,91,141830000
100000000,92,127382938
100000000,93,143386754
100000000,94,128457577
100000000,95,143497055
100000000,96,128572668
100000000,97,138286875
100000000,98,175309022
100000000,99,140156035
100000000,100,124714505
