Tamanho,Threads,Tempo
10000,86,9021
10000,87,9678
10000,88,10086
10000,89,10182
10000,90,10150
10000,91,7994
10000,92,7534
10000,93,7397
10000,94,7505
10000,95,8599
10000,96,8595
10000,97,7005
10000,98,7843
10000,99,7725
10000,100,9239
100000,1,176568
100000,2,143635
100000,3,244716
100000,4,194442
100000,5,194340
100000,6,212600
100000,7,200396
100000,8,188826
100000,9,183722
100000,10,156240
100000,11,78067
100000,12,73727
100000,13,77283
100000,14,184822
100000,15,212182
100000,16,219021
100000,17,223242
100000,18,230107
100000,19,215902
100000,20,216695
100000,21,260275
100000,22,218722
100000,23,206370
100000,24,289351
100000,25,275379
100000,26,232834
100000,27,219517
100000,28,217955
100000,29,222131
100000,30,242577
100000,31,255251
100000,32,244994
100000,33,291534
100000,34,256472
100000,35,245837
100000,36,186161
100000,37,193654
100000,38,234721
100000,39,238745
100000,40,291577
100000,41,232458
100000,42,218907
100000,43,182540
100000,44,178784
100000,45,213689
100000,46,226756
100000,47,220473
100000,48,186601
100000,49,228617
100000,50,195829
100000,51,177128
100000,52,182434
100000,53,106798
100000,54,98269
100000,55,79028
100000,56,73069
100000,57,72354
100000,58,73146
100000,59,77807
100000,60,75818
100000,61,73267
100000,62,73140
100000,63,72508
100000,64,73599
100000,65,73877
100000,66,74855
100000,67,92070
100000,68,89083
100000,69,76784
100000,70,125901
100000,71,93363
100000,72,122229
100000,73,152937
100000,74,141523
100000,75,75130
100000,76,75601
100000,77,78214
100000,78,87359
100000,79,78975
100000,80,77288
100000,81,76488
100000,82,78863
100000,83,77404
100000,84,78303
100000,85,78504
100000,86,80325
100000,87,78358
100000,88,80058
100000,89,81232
100000,90,85437
100000,91,118019
100000,92,96464
100000,93,78229
100000,94,80627
100000,95,73383
100000,96,69701
100000,97,69247
100000,98,68316
100000,99,68498
100000,100,69005
1000000,1,1013051
1000000,2,924667
1000000,3,1064262
1000000,4,951809
1000000,5,974969
1000000,6,919633
1000000,7,910138
1000000,8,918876
1000000,9,1113279
1000000,10,919946
1000000,11,1053032
1000000,12,1013467
1000000,13,964999
1000000,14,914921
1000000,15,1170925
1000000,16,1703828
1000000,17,1640205
1000000,18,1044694
1000000,19,1012666
1000000,20,1762660
1000000,21,1605012
1000000,22,3107868
1000000,23,1146583
1000000,24,2693109
1000000,25,3219493
1000000,26,3548742
1000000,27,3365496
1000000,28,1097054
1000000,29,1028599
1000000,30,1042184
1000000,31,1022094
1000000,32,1019834
1000000,33,998307
1000000,34,984741
1000000,35,1023335
1000000,36,927597
1000000,37,1048428
1000000,38,930360
1000000,39,973748
1000000,40,919280
1000000,41,1027488
1000000,42,898547
1000000,43,1022678
1000000,44,913715
1000000,45,899662
1000000,46,921092
1000000,47,1016487
1000000,48,945889
1000000,49,1028383
1000000,50,1190588
1000000,51,1171220
1000000,52,1110315
1000000,53,1294930
1000000,54,1260548
1000000,55,1950078
1000000,56,1708746
1000000,57,1493411
1000000,58,1415406
1000000,59,1472926
1000000,60,930166
1000000,61,950952
1000000,62,906910
1000000,63,913192
1000000,64,1068873
1000000,65,919501
1000000,66,4503752
1000000,67,885555
1000000,68,1019264
1000000,69,947262
1000000,70,876499
1000000,71,1059081
1000000,72,1006325
1000000,73,1011971
1000000,74,940023
1000000,75,934391
1000000,76,961497
1000000,77,1015424
1000000,78,968957
1000000,79,1065840
1000000,80,1042541
1000000,81,939997
1000000,82,938434
1000000,83,942478
