Tamanho,Threads,Tempo
1000,52,1629
1000,53,1643
1000,54,2627
1000,55,1609
1000,56,378
1000,57,1693
1000,58,1700
1000,59,1732
1000,60,1695
1000,61,1774
1000,62,1718
1000,63,1765
1000,64,1746
1000,65,1758
1000,66,17866
1000,67,1681
1000,68,2929
1000,69,1738
1000,70,1731
1000,71,1699
1000,72,1741
1000,73,1729
1000,74,1813
1000,75,1742
1000,76,1673
1000,77,1794
1000,78,1654
1000,79,1657
1000,80,17573
1000,81,1734
1000,82,1800
1000,83,2812
1000,84,1762
1000,85,1754
1000,86,1788
1000,87,1762
1000,88,1742
1000,89,1725
1000,90,1681
1000,91,1719
1000,92,12128
1000,93,1636
1000,94,1616
1000,95,1661
1000,96,1636
1000,97,1672
1000,98,2859
1000,99,1635
1000,100,1670
10000,1,52851
10000,2,45604
10000,3,31347
10000,4,32686
10000,5,26585
10000,6,28729
10000,7,33297
10000,8,29728
10000,9,27547
10000,10,30927
10000,11,42136
10000,12,31672
10000,13,35193
10000,14,31471
10000,15,33773
10000,16,38218
10000,17,96212
10000,18,33149
10000,19,36716
10000,20,39772
10000,21,37218
10000,22,38955
10000,23,32615
10000,24,43780
10000,25,34527
10000,26,27886
10000,27,22835
10000,28,28188
10000,29,29958
10000,30,37023
10000,31,25999
10000,32,29474
10000,33,27068
10000,34,22153
10000,35,28625
10000,36,33153
10000,37,35434
10000,38,20712
10000,39,20328
10000,40,20948
10000,41,23318
10000,42,68652
10000,43,52271
10000,44,23487
10000,45,33733
10000,46,39483
10000,47,30601
10000,48,33248
10000,49,30788
10000,50,28344
10000,51,35569
10000,52,34632
10000,53,27053
10000,54,31024
10000,55,31717
10000,56,44101
10000,57,30510
10000,58,31926
10000,59,34598
10000,60,74332
10000,61,52795
10000,62,45434
10000,63,31380
10000,64,29725
10000,65,30969
10000,66,29698
10000,67,28958
10000,68,32388
10000,69,52184
10000,70,25731
10000,71,29715
10000,72,28539
10000,73,31424
10000,74,30320
10000,75,47800
10000,76,23274
10000,77,23440
10000,78,25965
10000,79,21324
10000,80,23557
10000,81,21739
10000,82,29608
10000,83,23690
10000,84,18703
10000,85,23577
10000,86,21384
10000,87,22137
10000,88,25949
10000,89,19796
10000,90,22880
10000,91,20296
10000,92,19556
10000,93,21514
10000,94,27293
10000,95,20975
10000,96,22496
10000,97,28823
10000,98,22349
10000,99,22843
10000,100,38199
100000,1,165190
100000,2,164446
100000,3,162407
100000,4,191236
100000,5,172868
100000,6,163315
100000,7,165236
100000,8,161643
100000,9,164087
100000,10,161227
100000,11,179081
100000,12,189302
100000,13,245517
100000,14,226137
100000,15,181829
100000,16,262504
100000,17,223712
100000,18,243983
100000,19,274438
100000,20,274941
100000,21,357439
100000,22,484693
100000,23,397994
100000,24,349582
100000,25,213052
100000,26,252253
100000,27,311945
100000,28,8307668
100000,29,210583
100000,30,85485
100000,31,177970
100000,32,245370
100000,33,168832
100000,34,178825
100000,35,136361
100000,36,106929
100000,37,142465
100000,38,143566
100000,39,175802
100000,40,266633
100000,41,274256
100000,42,278774
100000,43,257507
100000,44,289323
100000,45,245619
100000,46,237494
100000,47,221232
100000,48,183718
100000,49,259217
100000,50,213241
100000,51,250324
100000,52,144178
100000,53,147465
100000,54,152716
100000,55,100236
100000,56,104135
100000,57,142224
100000,58,99365
100000,59,93430
100000,60,89441
100000,61,90848
100000,62,138436
100000,63,190277
100000,64,297894
100000,65,246915
100000,66,267083
100000,67,278157
100000,68,220236
100000,69,6986054
100000,70,113711
100000,71,118716
100000,72,99276
100000,73,91500
100000,74,119035
100000,75,112077
100000,76,97167
100000,77,101907
100000,78,137318
100000,79,98196
100000,80,186276
100000,81,328135
100000,82,315365
100000,83,301761
100000,84,266221
100000,85,310860
100000,86,254254
100000,87,247190
100000,88,254281
100000,89,86790
100000,90,80635
100000,91,92927
100000,92,117525
100000,93,115525
100000,94,119118
100000,95,100333
100000,96,106222
100000,97,92814
100000,98,104611
100000,99,88906
100000,100,119776
1000000,1,5737623
1000000,2,5499828
1000000,3,3047556
1000000,4,8376876
1000000,5,2717094
1000000,6,1271272
1000000,7,1104115
1000000,8,2025537
1000000,9,4833078
1000000,10,4633507
1000000,11,3691827
1000000,12,20119896
1000000,13,2553500
1000000,14,1761713
1000000,15,2677965
1000000,16,4281353
1000000,17,4338267
1000000,18,3851342
1000000,19,1575506
1000000,20,6116723
1000000,21,3471014
1000000,22,5014117
1000000,23,4867015
1000000,24,5301543
1000000,25,4220636
